Id,Index,Offset,VariationId,BehaviorJudgeId,EzStateBehaviorType_old,RefType,ReferenceId,SfxVariationId,Stamina,Mp,Category,HeroPoint
0,0,0,0,0,0,0,0,-1,0,0,0,0
0,0,0,0,0,0,1,4,-1,0,0,5,0
0,0,0,0,0,0,1,6,-1,0,0,5,0
0,0,0,0,0,0,1,8,-1,0,0,5,0
0,0,0,0,0,0,0,10,-1,20,0,5,0
0,0,0,0,0,0,0,100,-1,0,0,0,0
0,0,0,0,0,0,0,200,0,0,0,9,0
0,0,0,0,0,0,0,201,0,0,0,9,0
0,0,0,0,0,0,0,202,0,0,0,9,0
0,0,0,0,0,0,0,203,0,0,0,9,0
0,0,0,0,0,0,0,204,0,0,0,5,0
0,0,0,0,0,0,0,205,0,0,0,5,0
0,0,0,0,0,0,0,206,0,0,0,5,0
0,0,0,0,0,0,0,210,0,0,0,5,0
0,0,0,0,0,0,0,211,0,0,0,5,0
0,0,0,0,0,0,0,212,0,0,0,5,0
0,0,0,0,0,0,0,213,0,0,0,5,0
0,0,0,0,0,0,0,220,0,0,0,5,0
0,0,0,0,0,0,0,221,0,0,0,5,0
0,0,0,0,0,0,0,222,0,0,0,5,0
0,0,0,0,0,0,0,40,0,20,0,5,0
0,0,0,0,0,0,0,41,0,20,0,9,0
0,0,0,0,0,0,0,42,0,20,0,5,0
0,0,0,0,0,0,0,43,0,20,0,9,0
0,0,0,0,0,0,0,44,0,0,0,5,0
0,0,0,0,0,0,0,300,0,0,0,9,0
0,0,0,0,0,0,0,301,0,0,0,9,0
0,0,0,0,0,0,0,302,0,0,0,9,0
0,0,0,0,0,0,0,303,0,0,0,9,0
0,0,0,0,0,0,0,304,0,0,0,5,0
0,0,0,0,0,0,0,305,0,0,0,5,0
0,0,0,0,0,0,0,306,0,0,0,5,0
0,0,0,0,0,0,0,310,0,0,0,5,0
0,0,0,0,0,0,0,311,0,0,0,5,0
0,0,0,0,0,0,0,312,0,0,0,5,0
0,0,0,0,0,0,0,313,0,0,0,5,0
0,0,0,0,0,0,0,320,0,0,0,5,0
0,0,0,0,0,0,0,321,0,0,0,5,0
0,0,0,0,0,0,0,322,0,0,0,5,0
0,0,0,0,0,0,0,40,0,20,0,5,0
