Id,Index,Offset,VariationId,BehaviorJudgeId,EzStateBehaviorType_old,RefType,ReferenceId,SfxVariationId,Stamina,Mp,Category,HeroPoint
0,0,0,0,0,0,0,0,-1,0,0,0,0
0,0,0,0,0,0,0,4,-1,0,0,0,0
0,0,0,0,0,3,2,4,29,0,0,0,0
0,0,0,0,0,0,2,6,-1,0,0,0,0
0,0,0,0,0,0,2,7,32,0,0,0,0
0,0,0,0,0,0,2,10,30,0,0,0,0
0,0,0,0,0,0,2,11,31,0,0,0,0
0,0,0,0,0,0,2,12,-1,0,0,0,0
0,0,0,0,0,0,1,50,-1,0,0,0,0
0,0,0,0,0,0,2,8,-1,0,0,0,0
0,0,0,0,0,0,2,9,-1,0,0,0,0
0,0,0,0,0,0,2,201,-1,0,0,0,0
0,0,0,0,0,0,2,202,-1,0,0,0,0
0,0,0,0,0,0,2,203,-1,0,0,0,0
0,0,0,0,0,0,2,206,-1,0,0,0,0
0,0,0,0,0,0,2,207,-1,0,0,0,0
0,0,0,0,0,0,2,208,-1,0,0,0,0
0,0,0,0,0,0,2,211,-1,0,0,0,0
0,0,0,0,0,0,2,212,-1,0,0,0,0
0,0,0,0,0,0,2,221,-1,0,0,0,0
0,0,0,0,0,0,2,222,-1,0,0,0,0
0,0,0,0,0,0,2,231,-1,0,0,0,0
0,0,0,0,0,0,2,232,-1,0,0,0,0
0,0,0,0,0,0,2,236,-1,0,0,0,0
0,0,0,0,0,0,2,237,-1,0,0,0,0
0,0,0,0,0,0,2,311,-1,0,0,0,0
0,0,0,0,0,0,2,312,-1,0,0,0,0
0,0,0,0,0,0,2,321,-1,0,0,0,0
0,0,0,0,0,0,2,322,-1,0,0,0,0
0,0,0,0,0,0,2,331,-1,0,0,0,0
0,0,0,0,0,0,2,332,-1,0,0,0,0
0,0,0,0,0,0,2,336,-1,0,0,0,0
0,0,0,0,0,0,2,337,-1,0,0,0,0
0,0,0,30800,800,2,1,3080800,0,0,0,6,0
0,0,0,13100,700,2,1,1310700,0,0,0,6,0
0,0,0,13100,710,2,1,1310710,0,0,0,6,0
0,0,0,52400,100,2,1,5240100,0,0,0,6,0
