Id,Index,Offset,BehaviorVariationId,SortId,WanderingEquipId,Weight,WeaponWeightRate,FixPrice,BasicPrice,SellValue,CorrectStrength,CorrectAgility,CorrectMagic,CorrectFaith,PhysGuardCutRate,MagGuardCutRate,FireGuardCutRate,ThunGuardCutRate,SpEffectBehaviorId1,SpEffectBehaviorId2,SpEffectBehaviorId3,ResidentSpEffectId1,ResidentSpEffectId2,ResidentSpEffectId3,MaterialSetId,OriginEquipWep,OriginEquipWep1,OriginEquipWep2,OriginEquipWep3,OriginEquipWep4,OriginEquipWep5,OriginEquipWep6,OriginEquipWep7,OriginEquipWep8,OriginEquipWep9,OriginEquipWep10,OriginEquipWep11,OriginEquipWep12,OriginEquipWep13,OriginEquipWep14,OriginEquipWep15,AntiDemonDamageRate,AntSaintDamageRate,AntWeakA_DamageRate,AntWeakB_DamageRate,VagrantItemLotId,VagrantBonusEneDropItemLotId,VagrantItemEneDropItemLotId,EquipModelId,IconId,Durability,MaxDurability,ParryDamageLife,AttackThrowEscape,AttackBasePhysics,AttackBaseMagic,AttackBaseFire,AttackBaseThunder,AttackBaseStamina,AttackBasePoise,SaDurability,GuardAngle,Stability,ReinforceTypeId,TrophySGradeId,ThrophySeqId,ThrowAtkRate,BowDistRate,EquipModelCategory,EquipModelGender,WeaponCategory,MotionCategory,GuardMotionCategory,AtkMaterial,DefMaterial,DefSfxMaterial,PhysicsStatFunc,SpAttribute,SpAtkCategory,WepMotionOneHandId,WepMotionBothHandId,ProperStrength,ProperAgility,ProperMagic,ProperFaith,OverStrength,AttackBaseParry,DefenseBaseParry,GuardBaseRepel,AttackBaseRepel,GuardCutCancelRate,GuardLevel,SlashGuardCutRate,BlowGuardCutRate,ThrustGuardCutRate,PoisonGuardResist,DiseaseGuardResist,BloodGuardResist,CurseGuardResist,IsDurabilityDivergence,RightHandEquipable,LeftHandEquipable,Buffs,MagicStatFunc,FireStatFunc,ThunderStatFunc,AttackBaseDark,DarkStatFunc,PoisonStatFunc,BleedStatFunc,ProperLuck,WeaponArt,CorrectLuck,WeaponClass,AecpId
0,0,0,0,890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,10,10,0,0,0,0,10000
0,0,0,0,890000,0,0,0,0,0,0,140,190,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,10,10,0,0,70,0,1010
0,0,0,0,890000,0,0,0,0,0,0,100,130,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,10,10,0,0,0,0,1010
0,0,0,0,890000,0,0,0,0,0,0,40,85,0,0,0,0,0,0,3110,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,10,10,0,0,70,0,1010
0,0,0,0,890000,0,0,0,0,0,0,140,80,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,3,0,0,0,10,10,0,0,0,0,1000
0,0,0,0,890000,0,0,0,0,0,0,0,0,0,155,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,4,0,0,10,10,0,0,0,0,1001
0,0,0,0,890000,0,0,0,0,0,0,0,0,0,250,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,10,10,0,0,0,0,1002
0,0,0,0,890000,0,0,0,0,0,0,140,80,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,10,10,0,0,0,0,1000
0,0,0,0,890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3110,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,0,10,10,0,0,70,0,1010
0,0,0,0,890000,0,0,0,0,0,0,0,0,30,60,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,3,0,0,0,10,10,0,0,0,0,1020
